17.01.2022 6:38:43,3,100,1001,120967,73041443
26.01.2022 13:48:12,3,150,1097,255228,33800999
26.01.2022 13:22:38,4,140,1161,781632,56865155
14.01.2022 11:48:06,3,80,1009,638996,88412506
31.01.2022 17:21:48,3,110,861,686259,39708422
10.01.2022 20:41:00,3,120,1024,412498,54354857
12.01.2022 8:42:12,4,50,871,322511,17716338
17.01.2022 19:26:11,5,150,851,837397,15450713
31.01.2022 14:22:32,4,150,1175,723081,41596112
13.01.2022 10:52:04,5,130,1198,323782,55289209
14.01.2022 10:51:50,6,160,1411,953635,34690781
14.01.2022 7:03:16,4,80,887,671700,24784479
15.01.2022 17:36:13,4,20,900,100273,59010215
20.01.2022 11:44:12,3,40,896,700804,27157720
15.01.2022 2:55:26,4,120,802,243336,93977181
29.01.2022 12:41:55,3,80,862,106674,10497236
14.01.2022 18:03:12,4,30,880,652970,30615725
31.01.2022 14:44:12,3,170,1907,112472,86625609
19.01.2022 19:42:40,3,30,838,258632,20685715
26.01.2022 22:11:26,4,100,811,339688,45344742
10.01.2022 17:48:08,3,90,902,611739,77333242
28.01.2022 14:06:17,6,150,1172,586068,87373035
27.01.2022 1:04:50,3,80,1020,947701,67346223
27.01.2022 13:03:56,3,10,930,715528,26297406
29.01.2022 14:48:29,5,120,811,271987,52462682
18.01.2022 14:47:37,4,70,1028,455121,69859489
28.01.2022 13:09:17,4,40,801,834521,33053134
15.01.2022 11:32:43,3,10,809,347770,57955730
16.01.2022 18:06:55,4,40,927,742638,27313171
14.01.2022 1:31:24,3,100,820,664798,49871291
14.01.2022 3:08:17,5,140,884,916494,73119042
31.01.2022 10:26:43,4,90,929,806991,80851320
26.01.2022 5:29:11,3,50,970,995434,29814043
31.01.2022 5:59:22,6,140,1156,465914,42494850
18.01.2022 22:54:57,5,90,1004,493896,18816313
12.01.2022 1:51:49,3,80,934,445495,40466078
15.01.2022 17:35:13,3,50,936,402409,67409859
20.01.2022 20:00:04,4,30,808,171594,17165717
17.01.2022 12:39:27,3,10,839,438837,47104269
12.01.2022 18:30:18,3,150,890,977407,63646569
26.01.2022 22:19:54,6,160,983,909536,59459512
31.01.2022 11:32:11,5,110,901,469120,12449845
17.01.2022 11:55:53,5,120,902,991715,86568014
10.01.2022 13:36:29,6,150,1120,186982,96295715
27.01.2022 0:04:51,4,10,846,468598,81923683
09.01.2022 7:25:45,6,150,972,731825,62057418
13.01.2022 10:24:53,3,50,858,540153,49940582
11.01.2022 11:58:27,3,170,907,434519,58952039
20.01.2022 7:21:57,3,70,867,922642,37183151
28.01.2022 21:46:13,4,20,839,883704,73030600
11.01.2022 2:37:23,6,160,989,770335,22415650
20.01.2022 4:09:09,3,20,821,549862,58441766
25.01.2022 11:17:35,3,110,846,780130,27209296
28.01.2022 15:44:32,4,140,1140,443669,14958119
26.01.2022 18:57:39,5,100,827,557262,89182010
11.01.2022 0:41:07,4,100,961,672462,39144905
27.01.2022 16:21:19,5,120,922,806307,60194575
22.01.2022 0:21:08,3,20,874,852683,97132626
10.01.2022 17:15:09,5,70,987,436592,68432613
14.01.2022 20:07:59,5,100,948,574170,94770865
11.01.2022 23:55:41,4,40,812,984201,65433082
12.01.2022 11:58:06,5,150,843,319026,94279180
10.01.2022 16:13:13,4,60,864,738941,87740090
19.01.2022 19:08:45,4,40,851,203287,93716308
30.01.2022 11:42:29,4,40,901,445848,98142504
24.01.2022 4:23:21,3,130,988,499348,74184884
16.01.2022 17:58:15,3,20,890,628321,76637610
24.01.2022 20:36:40,4,40,977,728022,34204368
22.01.2022 1:54:47,6,140,839,273245,16354895
30.01.2022 14:43:37,3,80,1023,674327,50732901
24.01.2022 10:40:51,4,70,913,911586,30755615
11.01.2022 21:28:35,3,10,895,516521,60766942
12.01.2022 22:59:19,3,170,1039,625208,17729994
27.01.2022 2:36:56,5,170,1834,631655,45780351
23.01.2022 2:20:15,6,170,866,877934,97422567
11.01.2022 7:48:11,3,20,940,404136,23341811
14.01.2022 16:13:57,3,50,922,112075,76061739
22.01.2022 14:23:14,5,80,951,691367,10013767
14.01.2022 21:31:09,4,70,938,426910,19888004
20.01.2022 2:10:05,5,70,944,423148,50099309
19.01.2022 16:21:44,4,70,1036,204516,40432235
09.01.2022 8:07:55,3,140,1115,659634,32475614
28.01.2022 13:23:32,6,160,1594,481249,71758703
21.01.2022 21:59:49,4,170,805,132683,24027677
30.01.2022 15:43:31,4,130,1094,836394,63981621
31.01.2022 5:13:28,5,100,1019,877105,72530577
30.01.2022 19:12:09,6,130,1109,696773,20244224
11.01.2022 9:43:24,3,20,806,525141,91908484
14.01.2022 21:02:44,4,150,899,992222,77069822
22.01.2022 5:21:13,3,90,864,301038,70321185
31.01.2022 7:07:39,4,70,941,146702,89184666
10.01.2022 0:45:14,5,80,934,241443,87297864
30.01.2022 12:37:48,5,90,907,486288,69868187
09.01.2022 21:27:28,3,20,905,335869,89422159
29.01.2022 8:27:21,3,60,926,535765,40364513
27.01.2022 9:59:04,3,90,821,785937,10993115
19.01.2022 20:45:06,5,170,887,199657,34904418
17.01.2022 16:21:04,3,50,913,238357,52947091
27.01.2022 2:41:14,3,110,817,120951,17930542
29.01.2022 14:54:37,4,130,876,310181,69777405
10.01.2022 11:08:46,4,160,904,423778,60572069
28.01.2022 13:56:29,5,70,967,779884,38317762
11.01.2022 5:47:45,5,90,809,333129,79298240
13.01.2022 0:18:04,5,100,844,439998,39433449
28.01.2022 10:09:35,6,160,1712,161456,95476733
29.01.2022 8:28:06,5,150,886,447082,68684054
14.01.2022 3:46:38,4,110,821,229940,54595590
29.01.2022 9:26:56,4,90,912,546057,44513521
26.01.2022 20:19:42,4,80,855,413685,90925826
11.01.2022 17:49:21,3,110,1008,247360,23120180
10.01.2022 12:09:57,3,150,1133,183437,41259562
30.01.2022 23:09:44,4,40,895,771150,58955336
24.01.2022 0:58:52,3,150,1070,509314,10468351
30.01.2022 5:36:38,4,50,978,469862,98427693
11.01.2022 17:11:45,6,140,941,977239,46779176
13.01.2022 3:00:59,4,70,933,605794,14227663
30.01.2022 5:13:08,5,140,963,317377,51188578
